Image Name,Light Condition,Complexity,Reason,Difficulty Level,,,
Bulldozer_184.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Bulldozer_192.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",2,2,1,
Bulldozer_198.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,1,0,
Bulldozer_208.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Bulldozer_241.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,2,1,
Bulldozer_253.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,1,0,
Bulldozer_42.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Bulldozer_43.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Bulldozer_513.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Crane_368.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,2,1,
Crane_384.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Crane_390.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Crane_392.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Crane_395.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Crane_400.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Crane_402.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Crane_428.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,2,1,
Crane_443.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",2,2,1,
Crane_444.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Excavator_08.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,1,0,
Excavator_114.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,2,1,
Excavator_123.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,2,1,
Excavator_129.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Excavator_158.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Excavator_169.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",2,2,1,
Excavator_18.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,1,0,
Excavator_23.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Excavator_35.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Excavator_460.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Excavator_466.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Excavator_469.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Excavator_482.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Excavator_500.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Truck_262.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Truck_282.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,2,1,
Truck_291.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Truck_311.png,2,2,"The image has very low brightness, making it difficult to recover details. The scene contains multiple objects or complex lighting conditions, making adjustments more challenging.",2,2,1,
Truck_324.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,2,0,
Truck_342.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Truck_526.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Truck_84.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
Truck_86.png,1,1,"The image has moderate or good brightness, allowing easier enhancement. The scene has relatively simple lighting adjustments with fewer interfering objects.",1,1,1,
,,,,,,25,0.595238095
